rollout_id,source_file,source_t,horizon,discounted_return,undiscounted_return,mean_reward,max_reward,min_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
103,data/latent/train/1781995586132_heuristic_00000.npz,961,300,30.03239631652832,87.43173217773438,0.29143911600112915,1.8144490718841553,-0.09033548831939697,0.09859058260917664,0.9999998807907104,1.837809904259302e-08,0.07999999821186066,1.0,1.0
104,data/latent/train/1781995818312_heuristic_00025.npz,909,300,52.56437683105469,131.87081909179688,0.4395693838596344,1.3972930908203125,-0.0962144136428833,0.09099872410297394,0.9999998211860657,2.6911496320281003e-07,0.05999999865889549,1.0,1.0
105,data/latent/train/1781995883579_heuristic_00032.npz,233,300,4.182403087615967,51.61775207519531,0.17205916345119476,0.9792969822883606,-0.11999154090881348,0.13502413034439087,0.9999997019767761,1.172224717294057e-08,0.0833333358168602,1.0,1.0
106,data/latent/train/1781975785803_heuristic_00026.npz,815,300,16.370464324951172,68.24041748046875,0.22746802866458893,0.7791725397109985,-0.11782324314117432,0.1226574182510376,0.9999997019767761,1.658995962827703e-08,0.023333333432674408,1.0,1.0
107,data/latent/train/1781995945841_heuristic_00039.npz,185,300,14.310979843139648,76.17922973632812,0.2539307773113251,0.9235273599624634,-0.12031662464141846,0.02680993638932705,1.0,1.3142823718226282e-07,0.05666666850447655,1.0,1.0
108,data/latent/train/1781975795046_heuristic_00027.npz,137,300,16.947547912597656,84.63103485107422,0.28210341930389404,0.8749544620513916,-0.11933696269989014,0.0655888095498085,0.9999994039535522,1.0261933169886106e-07,0.0833333358168602,1.0,1.0
109,data/latent/train/1781996230146_random_00015.npz,462,300,51.573516845703125,129.84426879882812,0.43281424045562744,2.313059091567993,-0.1172323226928711,0.08848327398300171,0.9999709129333496,6.832678991486318e-07,0.029999999329447746,1.0,1.0
110,data/latent/train/1781995963949_heuristic_00041.npz,938,300,9.623075485229492,71.41727447509766,0.23805758357048035,0.9742839932441711,-0.11712503433227539,0.07211392372846603,0.9999977350234985,2.4537245124633955e-08,0.046666666865348816,1.0,1.0
111,data/latent/train/1781975703598_heuristic_00017.npz,601,300,8.881474494934082,57.057106018066406,0.1901903599500656,0.9281232357025146,-0.10888493061065674,0.10165973752737045,0.9999995827674866,4.510084750108945e-08,0.03999999910593033,1.0,1.0
112,data/latent/train/1781996053429_forward_00002.npz,114,300,36.91670227050781,108.24286651611328,0.3608095943927765,1.4159936904907227,-0.09867799282073975,0.066230408847332,0.9999998807907104,1.4305114426349519e-08,0.10999999940395355,1.0,1.0
113,data/latent/train/1781995772209_heuristic_00020.npz,157,300,57.90291976928711,120.61740112304688,0.4020579755306244,2.2141807079315186,-0.06561815738677979,0.09880967438220978,0.9999998807907104,3.973643103449831e-08,0.07666666805744171,1.0,1.0
114,data/latent/train/1781996078705_forward_00014.npz,139,300,31.81022071838379,89.3638916015625,0.2978796362876892,1.0341203212738037,-0.06655645370483398,0.08132295310497284,0.9999998807907104,2.135833021554845e-08,0.08666666597127914,1.0,1.0
