seq_id,source_file,source_t,reward_sum_undiscounted,reward_sum_discounted,reward_mean,reward_max,lambda_t0,lambda_mean_all_steps,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,value_max,value_min,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
161,data/latent/train/1781995827249_heuristic_00026.npz,883,-1.5803085565567017,-1.4730337858200073,-0.10535390675067902,-0.0984048843383789,32.318294525146484,35.779518127441406,-1.0591623783111572,33.3774528503418,28.81736946105957,39.49065399169922,35.598968505859375,39.49065399169922,25.294891357421875,0.5558707118034363,0.994631826877594,7.708867428846133e-07,0.5333333611488342,0.9333333373069763,1.0
162,data/latent/train/1781995892840_heuristic_00033.npz,896,-1.5682991743087769,-1.4615201950073242,-0.10455327481031418,-0.0971829891204834,32.307498931884766,37.78044128417969,-1.0512241125106812,33.35871505737305,26.41832733154297,42.95993423461914,33.556121826171875,42.95993423461914,23.217666625976562,0.04494910314679146,0.9993032813072205,2.2490819446829846e-06,0.6666666865348816,1.0,1.0
163,data/latent/train/1781975740977_heuristic_00021.npz,190,-1.6776604652404785,-1.5691893100738525,-0.1118440330028534,-0.08807098865509033,38.203773498535156,41.985107421875,-1.1469650268554688,39.350738525390625,33.336490631103516,46.9058723449707,41.180809020996094,46.9058723449707,33.336490631103516,0.024616437032818794,0.999984085559845,9.934107758624577e-09,0.800000011920929,1.0,1.0
164,data/latent/train/1781995605201_heuristic_00002.npz,390,-1.5517948865890503,-1.44337797164917,-0.10345299541950226,-0.09065651893615723,42.92860794067383,46.85807800292969,-1.0271750688552856,43.955787658691406,35.2180290222168,50.64888000488281,47.79673767089844,56.53201675415039,34.45168685913086,-0.13368701934814453,0.9979757070541382,1.148382807514281e-06,0.8666666746139526,1.0,1.0
165,data/latent/train/1781975740977_heuristic_00021.npz,550,-1.5146536827087402,-1.4132887125015259,-0.10097691416740417,-0.09338903427124023,28.963796615600586,32.63089370727539,-1.0210649967193604,29.984859466552734,26.38715362548828,36.57870101928711,31.29049301147461,36.57870101928711,25.9652099609375,-0.7233646512031555,0.9993810653686523,2.6339292162447236e-05,0.9333333373069763,1.0,1.0
166,data/latent/train/1781995772209_heuristic_00020.npz,187,-0.9894044399261475,-0.9309913516044617,-0.06596029549837112,-0.02580607309937477,50.4275016784668,57.37915802001953,-0.6970528364181519,51.12455749511719,37.22254943847656,63.81591796875,52.337120056152344,63.81591796875,37.22254943847656,-0.8578994870185852,0.9995720982551575,4.394848929223372e-06,0.9333333373069763,1.0,1.0
167,data/latent/train/1781995963949_heuristic_00041.npz,118,0.161102756857872,0.12188182771205902,0.010740184225142002,0.15690922737121582,56.00678634643555,57.26161193847656,-0.014522412791848183,56.02130126953125,70.22280883789062,60.23038864135742,63.69775390625,70.22280883789062,60.23038864135742,-0.42303648591041565,0.999045193195343,1.5238921378113446e-06,0.8666666746139526,1.0,1.0
168,data/latent/train/1781995753128_heuristic_00018.npz,636,0.7724523544311523,0.7065286040306091,0.05149682238698006,0.18680500984191895,60.989662170410156,61.79431915283203,0.4776223599910736,60.51203536987305,77.1077651977539,64.42247772216797,69.4030990600586,77.1077651977539,64.42247772216797,-0.22745336592197418,0.9960659146308899,2.407829015282914e-05,0.6000000238418579,1.0,1.0
169,data/latent/train/1781996000904_heuristic_00045.npz,127,32.07965087890625,29.745702743530273,2.138643503189087,2.428497076034546,101.77816772460938,100.43307495117188,20.77558135986328,81.00260162353516,77.01883697509766,92.52472686767578,88.4749526977539,93.3389663696289,77.01883697509766,-0.823235273361206,0.9994290471076965,8.237361726060044e-06,0.9333333373069763,1.0,1.0
170,data/latent/train/1781995855626_heuristic_00029.npz,959,3.027515172958374,2.620687484741211,0.20183435082435608,1.089331865310669,72.42005920410156,79.02446746826172,1.2051035165786743,71.21495056152344,68.54644012451172,83.57018280029297,76.27296447753906,83.57018280029297,68.54644012451172,0.3277854323387146,0.997677743434906,2.6377041649539024e-05,0.9333333373069763,1.0,1.0
171,data/latent/train/1781995753128_heuristic_00018.npz,1,0.6411714553833008,0.5308219790458679,0.04274476319551468,0.47105681896209717,54.533973693847656,59.80507278442383,0.17010991275310516,54.363853454589844,47.260643005371094,63.7194938659668,58.63038635253906,65.34851837158203,47.260643005371094,-0.06883912533521652,0.9455175399780273,0.00014267365622799844,0.7333333492279053,0.800000011920929,1.0
172,data/latent/train/1781975657159_heuristic_00012.npz,681,-1.4766449928283691,-1.3891212940216064,-0.09844300150871277,-0.042862776666879654,40.64482879638672,43.70889663696289,-1.042773962020874,41.68760681152344,47.484806060791016,47.528926849365234,45.912681579589844,47.90224075317383,43.04958724975586,-0.9117695093154907,0.9999400973320007,1.2914340175029793e-07,0.8666666746139526,1.0,1.0
173,data/latent/train/1781995725381_heuristic_00015.npz,742,-1.7834739685058594,-1.6640907526016235,-0.11889826506376266,-0.11796319484710693,13.813364028930664,15.386576652526855,-1.2028863430023193,15.016247749328613,20.21480941772461,17.715007781982422,16.22112274169922,20.21480941772461,14.296314239501953,0.27014032006263733,0.9999011158943176,2.3841858265427618e-08,0.7333333492279053,1.0,1.0
174,data/latent/train/1781975684660_heuristic_00015.npz,657,-0.617313027381897,-0.6110368371009827,-0.041154202073812485,0.03570639714598656,47.13859176635742,52.98982620239258,-0.5676429271697998,47.706241607666016,49.75706100463867,58.91238021850586,49.62180709838867,58.91238021850586,44.02881622314453,-0.21234725415706635,0.9997591376304626,4.072984154390724e-07,0.9333333373069763,1.0,1.0
